lokasi_dari/ke,bulan,kapal_trip_kedatangan,kapal_trip_keberangkatan,penumpang_kedatangan,penumpang_keberangkatan
Dermaga Marina Ancol,01,65,74,2112,2079
Dermaga Muara Angke/ Kali Adem,01,156,169,18852,16892
Pulau Panggang/ Pramuka/ Karya,01,41,37,3197,2653
Pulau Kelapa/ Kelapa 2,01,60,61,2799,2352
Pulau Harapan/ Sebira,01,41,100,3204,5188
Pulau Tidung,01,88,81,9371,9446
Pulau Untung Jawa,01,167,58,6912,4336
Pulau Pari/ Lancang,01,181,165,6706,7281
Dermaga Marina Ancol,02,77,125,1780,3205
Dermaga Muara Angke/ Kali Adem,02,149,170,10724,12093
Pulau Panggang/ Pramuka/ Karya,02,63,49,2711,2415
Pulau Kelapa/ Kelapa 2,02,66,59,2709,1982
Pulau Harapan/ Sebira,02,52,99,2421,3281
Pulau Tidung,02,89,71,5312,4653
Pulau Untung Jawa,02,134,96,5810,1597
Pulau Pari/ Lancang,02,229,162,5363,4653
Dermaga Marina Ancol,03,73,181,2045,6558
Dermaga Muara Angke/ Kali Adem,03,214,235,23562,26003
Pulau Panggang/ Pramuka/ Karya,03,75,36,3716,2195
Pulau Kelapa/ Kelapa 2,03,79,64,2864,2445
Pulau Harapan/ Sebira,03,75,94,5981,7363
Pulau Tidung,03,121,75,12006,7359
Pulau Untung Jawa,03,297,102,10679,5395
Pulau Pari/ Lancang,03,249,216,11750,11130
Dermaga Marina Ancol,04,77,120,2622,5211
Dermaga Muara Angke/ Kali Adem,04,142,146,17482,14478
Pulau Panggang/ Pramuka/ Karya,04,54,49,3041,2642
Pulau Kelapa/ Kelapa 2,04,59,63,2141,2521
Pulau Harapan/ Sebira,04,66,64,5259,6866
Pulau Tidung,04,90,63,9940,4843
Pulau Untung Jawa,04,168,87,6912,3819
Pulau Pari/ Lancang,04,151,144,8081,7606
Dermaga Marina Ancol,05,55,74,4152,2689
Dermaga Muara Angke/ Kali Adem,05,97,107,8311,12518
Pulau Panggang/ Pramuka/ Karya,05,51,44,4559,4106
Pulau Kelapa/ Kelapa 2,05,70,57,2759,2258
Pulau Harapan/ Sebira,05,100,122,13322,10894
Pulau Tidung,05,90,63,9940,4843
Pulau Untung Jawa,05,168,87,8903,4840
Pulau Pari/ Lancang,05,222,176,18457,16764
Dermaga Marina Ancol,06,124,97,6984,3008
Dermaga Muara Angke/ Kali Adem,06,305,303,10488,9349
Pulau Panggang/ Pramuka/ Karya,06,96,67,3607,3062
Pulau Kelapa/ Kelapa 2,06,90,74,3242,2716
Pulau Harapan/ Sebira,06,49,51,1572,1722
Pulau Tidung,06,117,116,4171,2793
Pulau Untung Jawa,06,215,172,4747,4000
Pulau Pari/ Lancang,06,143,125,2479,3549
Dermaga Marina Ancol,07,125,141,8359,10224
Dermaga Muara Angke/ Kali Adem,07,428,349,49482,35153
Pulau Panggang/ Pramuka/ Karya,07,122,94,9488,8376
Pulau Kelapa/ Kelapa 2,07,67,52,3452,3189
Pulau Harapan/ Sebira,07,76,72,7751,8492
Pulau Tidung,07,168,179,18770,22791
Pulau Untung Jawa,07,471,408,29099,40230
Pulau Pari/ Lancang,07,213,192,15436,14795
Dermaga Marina Ancol,08,192,149,9822,8046
Dermaga Muara Angke/ Kali Adem,08,426,402,28001,23000
Pulau Panggang/ Pramuka/ Karya,08,109,81,6554,4482
Pulau Kelapa/ Kelapa 2,08,95,71,3208,2526
Pulau Harapan/ Sebira,08,94,93,8351,7446
Pulau Tidung,08,193,192,12421,15930
Pulau Untung Jawa,08,354,279,10905,10850
Pulau Pari/ Lancang,08,210,285,9631,6523
Dermaga Marina Ancol,09,215,150,10603,8826
Dermaga Muara Angke/ Kali Adem,09,383,358,39346,22746
Pulau Panggang/ Pramuka/ Karya,09,100,61,11037,3280
Pulau Kelapa/ Kelapa 2,09,96,77,2887,2297
Pulau Harapan/ Sebira,09,106,88,8664,5341
Pulau Tidung,09,161,166,10390,10927
Pulau Untung Jawa,09,360,245,10544,10067
Pulau Pari/ Lancang,09,189,155,9645,7613
Dermaga Marina Ancol,10,211,143,9145,6912
Dermaga Muara Angke/ Kali Adem,10,335,295,22444,19984
Pulau Panggang/ Pramuka/ Karya,10,104,84,6362,5365
Pulau Kelapa/ Kelapa 2,10,101,71,2751,2161
Pulau Harapan/ Sebira,10,98,76,7068,5058
Pulau Tidung,10,129,111,8744,7852
Pulau Untung Jawa,10,323,277,9078,8833
Pulau Pari/ Lancang,10,166,138,7982,7708
Dermaga Marina Ancol,11,210,137,9612,7067
Dermaga Muara Angke/ Kali Adem,11,324,290,20442,17602
Pulau Panggang/ Pramuka/ Karya,11,125,86,6545,2403
Pulau Kelapa/ Kelapa 2,11,90,71,2497,2112
Pulau Harapan/ Sebira,11,109,88,4896,7916
Pulau Tidung,11,106,98,7899,5748
Pulau Untung Jawa,11,315,276,8157,8993
Pulau Pari/ Lancang,11,142,129,6691,6093
Dermaga Marina Ancol,12,227,177,15120,10294
Dermaga Muara Angke/ Kali Adem,12,413,360,43285,32674
Pulau Panggang/ Pramuka/ Karya,12,105,80,7050,5055
Pulau Kelapa/ Kelapa 2,12,85,61,2560,1938
Pulau Harapan/ Sebira,12,113,91,10978,8503
Pulau Tidung,12,190,179,22558,17062
Pulau Untung Jawa,12,480,338,15994,22871
Pulau Pari/ Lancang,12,194,149,15053,13556
